taxlevel	 rankID	 taxon	 daughterlevels	 total	D1_A	D1_B	D2_A	D2_B	D3_A	D3_B	D4_A	D4_B	D5_A	D5_B	DA0153	DA0154	DA0155	DA0156	DA0156_R	DA0157	DA0165	DA0192	DA0207	DA0208	DA0219	DA0227	DA0228	DA0236	DA0281	DA0283	DA0288	DA0296	DA0299	DA0309	DA0318	DA0328	DA0338	DA0339	DA0345	DA0346	DA0349	DA0379	DA0380	DA0381	DA0382	DA0383	DA0391	DA0394	DA0397	DA0415	DA0416	DA0416_R	DA0417	DA0426	DA0427	DA0435	DA0450	DA0453	DA0457	DA0458	DA0461	DA0467	DA0474	DA0475	DA0476	DA0488	DA0498	DA0525	DA0527	DA0530	DA0550	DA0551	DA0554	DA0556	DA0565	DA0568	DA0574	DA0578	DA0581	DA0592	DA0593	DA0595	DA0600	DA0600_O	DA0600_OS	DA0600_P	DA0600_X	DA0603	DA0611	DA0611_R	DA0615	DA0617	DA0618	DA0619	DA0621	DA0635	DA0635_R	DA0638	DA0638_R	DA0638_s	DA0666	DA0673	DA0676	DA0689	DA0695	DA0705	DA0718_R	DA0719	DA0721	DA0721_R	DA0725	DA0731	DA0734_R	DA0735	DA0738	DA0741	DA0752	DA0753	DA0754	DA0776	DA0778	DA0779	DA0780	DA0793	DA0804	DA0806	DA0810	DA0812	DA0820	DA0845	DA0850	DA0861	DA0864	DA0904	DA0908	DA0918	DA0926	DA0933	DA0933_R	DA0939	DA0941	DA0943	DA0948	DA0949	DA0954	DA0955	DA0963	DA0977	DA0978	DA0980	DA0984	DA0989	DA0991	DA0991_R	DA0993	DA0994	DA1008	DA1009	DA1009_s	DA1026	DA1030	DA1033_R	DA1039	DA1041	DA1043	DA1044	DA1046	DA1068	DA1071	DA1088	DA1102	DA1119	DA1119_s	DA1120	DA1125	DA1133	DA1139	DA1155	DA1174	DA1179	DA1193	DA1208	DA1215	DA1217	DA1223	DA1227	DA1231	DA1235	DA1244	DA1249	DA1250	DA1251	DA1287	DA1306	DA1320	DA1324	DA1335	DA1359	DA1365	DA1369	DA1370	DA1384	DA1388	DA1399	DA1419	DA1428	DA1468	DA1475	DA1482	DA1483	DA1484	DA1497	DA1504	DA1513	DA1514	DA1519	DA1525	DA1536	DA1545	DA1563	DA1580	DA1609	DA1621	DA1645	DA1648	DA1655	DA1657a	DA1657b	DA1673	DA1686	DA1718	DA1749	DA1752	DA1779	DA1810	DA1837	DA1904	DA1918	DA1936	DA1937	DA1945	DA1960	DA1962	DA1963	DA1966	DA1979	DA1993	DA2014	DA2043	DA2045	DA2047	DA2058	DA2059a	DA2059b	DA2063	DA2072a	DA2072b	DA2095	DA2102	DA2245	DA2263_s	DA2263a	DA2263b	DA2267	DA2276	DA2347	DA2355	DA2363	DA2430_s	DA2444	DA2559	DA2699	DA2710	DA2763	DA2764	DA2766	DA2792	DA2797	DA2803	DA2819	DA2822	DA2826	DA2830	DA2832	DA2840	DA2845	DA2850	DA2851	DA2852	DA2867	DA2869	DA2870	DA2871	DA2875	DA2879	DA2894	DA2905	DA2909	DA2910	DA2911	DA2932	DA2938	DA2939	DA2940	DA2942	DA2946	DA2960	DA2997	DA3027a	DA3027b	DA3035	DA3081	DA3091	DA3108	DA3137	DA3139	DA3143	DA3173	DA3185	DA3215	DA3215_O	DA3215_OS	DA3215_P	DA3215_X	DA3216	DA3216_OS	DA3217	DA3239	DA3240	DA3243	DA3243_X	DA3260_P	DA3260_X	DA3298	DA3299	DA3376	EXTR_NEG1	MOCKB	MOCKC	R1_A	R1_B	R1_C	R1_D	R1_E	R1_F	R2_A	R2_B	R2_C	R2_D	R2_E	R2_F	R3_A	R3_B	R3_D	R3_E	R3_F	R4_A	R4_B	R4_C	R4_D	R4_E	R4_F	R5_B	R5_C	R5_D	R5_E	R6_A	R6_B	R6_C	R6_D	R6_E	TD_DA0296	TD_DA2710	TD_water_021315	mock_C_021315	test	waterB	waterC
3	0.2.9.2	Bacteroidia	1	1212780	6046	5750	1118	3044	10283	9214	12914	9180	767	8868	7	2	62	30	8	15	9090	14	42	13101	275	466	1	5900	32	4978	15	101	13288	4	10515	582	7309	8380	331	14727	5503	1627	12568	2567	7869	9835	7673	29	8	244	60	1	17202	26	8	2	286	12	4646	10179	666	524	15	10	8	53	34	7414	10891	13635	8159	505	6	3110	9220	12	14	16439	15457	2555	18	11616	2064	1496	9236	1730	8738	492	32	12	5954	1316	26	22	3	6	14	2797	2869	6564	11	6215	3	167	5485	347	5	1461	3052	2834	4904	7252	36	55	51	823	15	54	44	914	10832	15	6	26	80	37	2501	2532	13	614	49	3507	2335	18	35	15	1931	108	127	148	55	7	16	11	19	8	12960	11	10	2529	29	9359	837	40	94	13366	4	49	12	5369	9792	21	1457	1931	7936	1258	9	5	8323	142	11177	29	13561	22	713	1583	4821	152	5	28	2	8449	105	2	10705	13711	10864	2	8195	50	288	2559	2	5754	6	3162	128	10	11	35	1417	74	4798	282	4500	1272	3994	50	8484	5	3513	114	10454	17	7692	40	6824	19	8982	8727	4177	2002	10611	10	5551	4083	657	146	8497	2	2993	290	13	10338	7552	2471	372	11646	532	26	598	8092	11	14	11	7008	4	257	18	5637	13049	1141	2260	1311	971	5707	9720	26	205	46	97	33	20	14180	4	1983	135	20	13	4954	2375	8768	7803	15733	8	8587	11	7	5976	1501	10793	79	16	1490	9600	1412	3	6	14	115	10564	27	8824	14	4349	9	3390	2154	8	10401	5	8	273	1076	15628	2284	3002	4483	7801	8089	1260	7	12	7872	2131	4229	6	5313	4574	8573	1895	12334	1030	2328	1334	1600	1686	83	7252	3393	248	4259	8352	21	30	139	111	4942	2582	6	8	12488	4200	6340	8042	11	30	3874	11	1963	3355	12	12	10977	11346	12660	1154	1980	1469	16234	1837	3494	18	3286	305	772	70	3	2653	2604	14463	32	6389	73	4522	32	27	11
4	0.2.9.2.1	Bacteroidales	7	1212780	6046	5750	1118	3044	10283	9214	12914	9180	767	8868	7	2	62	30	8	15	9090	14	42	13101	275	466	1	5900	32	4978	15	101	13288	4	10515	582	7309	8380	331	14727	5503	1627	12568	2567	7869	9835	7673	29	8	244	60	1	17202	26	8	2	286	12	4646	10179	666	524	15	10	8	53	34	7414	10891	13635	8159	505	6	3110	9220	12	14	16439	15457	2555	18	11616	2064	1496	9236	1730	8738	492	32	12	5954	1316	26	22	3	6	14	2797	2869	6564	11	6215	3	167	5485	347	5	1461	3052	2834	4904	7252	36	55	51	823	15	54	44	914	10832	15	6	26	80	37	2501	2532	13	614	49	3507	2335	18	35	15	1931	108	127	148	55	7	16	11	19	8	12960	11	10	2529	29	9359	837	40	94	13366	4	49	12	5369	9792	21	1457	1931	7936	1258	9	5	8323	142	11177	29	13561	22	713	1583	4821	152	5	28	2	8449	105	2	10705	13711	10864	2	8195	50	288	2559	2	5754	6	3162	128	10	11	35	1417	74	4798	282	4500	1272	3994	50	8484	5	3513	114	10454	17	7692	40	6824	19	8982	8727	4177	2002	10611	10	5551	4083	657	146	8497	2	2993	290	13	10338	7552	2471	372	11646	532	26	598	8092	11	14	11	7008	4	257	18	5637	13049	1141	2260	1311	971	5707	9720	26	205	46	97	33	20	14180	4	1983	135	20	13	4954	2375	8768	7803	15733	8	8587	11	7	5976	1501	10793	79	16	1490	9600	1412	3	6	14	115	10564	27	8824	14	4349	9	3390	2154	8	10401	5	8	273	1076	15628	2284	3002	4483	7801	8089	1260	7	12	7872	2131	4229	6	5313	4574	8573	1895	12334	1030	2328	1334	1600	1686	83	7252	3393	248	4259	8352	21	30	139	111	4942	2582	6	8	12488	4200	6340	8042	11	30	3874	11	1963	3355	12	12	10977	11346	12660	1154	1980	1469	16234	1837	3494	18	3286	305	772	70	3	2653	2604	14463	32	6389	73	4522	32	27	11
5	0.2.9.2.1.1	Bacteroidaceae	2	831986	3889	3844	947	2296	7963	6640	9318	6010	723	7985	7	0	13	29	8	15	5370	12	20	10612	12	3	1	4879	9	1353	15	45	8148	3	5943	1	6423	6268	102	7588	5	1199	9788	2564	4742	3516	6424	17	8	61	23	1	11207	15	8	1	25	10	9	7554	4	463	13	7	3	25	12	124	6041	12127	6128	493	6	2226	5649	12	14	15348	12559	880	10	6845	1986	1260	8130	1500	8153	26	30	12	4828	1258	11	22	0	5	14	2797	2869	6562	11	5434	3	140	5485	267	3	1461	45	2291	3533	5960	5	44	26	28	5	14	10	8	9131	15	6	26	47	33	1275	1846	13	5	28	1275	1384	8	35	8	1061	32	101	9	32	7	15	7	18	8	11475	10	0	13	4	5124	16	4	4	7696	4	18	12	5351	7971	21	1204	629	7784	13	9	5	7961	67	4392	27	7775	3	84	1583	5	79	5	16	2	5637	19	2	7084	9434	8840	2	8195	20	151	2211	2	5407	6	3071	15	8	7	10	9	43	4796	207	3449	65	3990	7	5405	5	1498	114	7192	14	7233	38	6809	17	7438	2756	2790	1461	10611	10	2700	2672	636	19	7313	2	0	252	13	6236	3926	615	137	7942	3	16	529	38	11	12	8	1179	4	237	9	4579	5166	13	2259	1167	145	3203	6809	12	62	18	51	9	9	9750	4	742	8	12	11	769	740	8757	4165	8836	3	8262	11	7	3947	1460	9839	8	16	1459	6626	652	0	4	14	114	6430	26	8822	11	3782	9	3141	15	8	10097	5	7	72	305	8160	2278	2560	3507	7793	6350	746	7	6	6048	1490	4227	6	5301	3671	7099	1620	10531	956	1718	815	586	1683	83	7231	2060	99	4051	7859	11	18	106	63	2585	1389	0	8	10045	2156	3624	4032	3	19	3133	11	1942	3346	2	2	7716	7543	8472	237	500	124	4430	569	1522	4	2693	294	703	56	0	2265	1755	10144	19	3482	46	2614	8	23	9
6	0.2.9.2.1.1.1	Anaerorhabdus	0	2093	10	9	0	0	6	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	777	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	211	0	0	0	4	0	0	182	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	176	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	37	0	0	0	0	2	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	2	0	0	0	0	7	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	13	3	4	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
6	0.2.9.2.1.1.2	Bacteroides	0	829893	3879	3835	947	2296	7957	6638	9318	6009	723	7985	7	0	13	29	8	15	5370	12	20	10612	12	3	1	4879	9	1353	15	45	8148	3	5943	1	6423	6268	102	7588	5	422	9788	2564	4742	3516	6424	17	8	61	23	1	11193	15	8	1	25	10	9	7554	4	463	13	7	3	25	12	113	6041	12127	5917	493	6	2226	5645	12	14	15166	12398	880	10	6845	1986	1260	8130	1500	8153	26	30	12	4828	1258	11	22	0	5	14	2797	2869	6562	11	5430	3	140	5485	267	3	1461	45	2291	3533	5960	5	44	26	28	5	14	10	8	9131	15	6	26	47	33	1275	1846	13	5	28	1275	1384	8	35	8	1061	32	101	9	32	7	15	7	18	8	11475	10	0	13	4	5124	16	4	4	7696	4	18	12	5351	7971	21	1204	629	7784	13	9	5	7961	67	4389	27	7775	3	84	1583	5	79	5	16	2	5619	19	2	7084	9434	8840	2	8195	20	151	2211	2	5407	6	3071	15	8	7	7	9	43	4796	31	3449	65	3990	7	5405	5	1498	17	7192	14	7233	38	6809	17	7438	2719	2790	1461	10611	10	2698	2672	636	19	7304	2	0	252	13	6236	3926	615	137	7942	3	16	529	38	11	12	8	1179	4	237	9	4579	5166	13	2259	1167	145	3203	6729	12	62	18	51	9	9	9750	4	740	8	12	11	769	733	8757	4165	8834	3	8262	11	7	3947	1460	9839	8	16	1459	6626	652	0	4	14	114	6430	26	8822	11	3782	9	3141	15	8	10097	5	7	72	305	8019	2278	2560	3507	7793	6350	746	7	6	6048	1490	4206	6	5301	3671	7099	1620	10531	956	1718	815	586	1683	83	7231	2060	99	4051	7859	11	18	106	63	2585	1389	0	8	9976	2143	3621	4028	3	19	3127	11	1942	3346	2	2	7716	7542	8472	237	500	124	4430	569	1522	4	2693	294	703	56	0	2265	1755	10137	19	3482	46	2614	8	23	9
5	0.2.9.2.1.2	Bacteroidales_incertae_sedis	1	556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0
6	0.2.9.2.1.2.1	Phocaeicola	0	556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0
5	0.2.9.2.1.5	Porphyromonadaceae	7	199589	512	408	4	63	1243	1342	2064	1658	44	829	0	0	0	1	0	0	761	0	22	2489	0	12	0	163	23	3624	0	13	4619	0	796	581	878	2112	158	3046	3975	371	1661	0	2795	3144	1212	9	0	182	19	0	4610	9	0	1	103	2	4637	811	656	45	0	1	4	10	19	777	3838	1147	2024	3	0	862	922	0	0	1090	0	718	3	2274	69	236	1082	229	585	401	2	0	88	55	0	0	0	0	0	0	0	2	0	531	0	1	0	31	2	0	4	371	1055	1290	0	0	12	332	0	40	5	904	1691	0	0	0	13	4	362	384	0	0	20	2214	950	0	0	2	0	46	2	0	5	0	1	4	0	0	1447	0	1	0	1	1822	0	9	0	5192	0	1	0	3	737	0	72	133	144	130	0	0	5	0	3067	2	5399	0	346	0	45	73	0	0	0	844	0	0	3075	4274	556	0	0	14	118	347	0	0	0	76	10	0	4	0	1405	6	2	1	729	124	0	2	919	0	0	0	2698	3	23	0	0	0	1495	2021	1338	437	0	0	16	1112	6	1	0	0	2993	38	0	3315	3328	574	114	0	513	0	41	0	0	0	0	5829	0	15	2	414	1064	9	0	131	14	2466	1405	6	117	5	2	8	7	2424	0	130	1	5	1	3018	63	10	3574	3664	5	322	0	0	0	3	742	0	0	29	446	569	3	2	0	0	2280	1	0	0	567	0	249	2139	0	301	0	0	197	754	4429	2	440	46	4	764	509	0	0	944	641	2	0	0	185	232	59	41	7	58	271	515	3	0	17	1333	56	195	480	10	12	21	22	2354	1193	3	0	876	266	362	267	1	10	27	0	5	9	2	5	2410	2648	3103	9	0	236	3950	449	507	1	583	10	52	9	0	88	302	1171	10	2814	26	1908	1	4	2
6	0.2.9.2.1.5.1	Barnesiella	0	13294	0	0	0	0	177	311	70	45	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	752	0	0	0	2	0	13	1036	0	267	0	0	0	0	0	0	0	0	0	0	2068	7	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	31	0	0	0	0	1035	0	0	0	2	16	0	0	0	0	0	0	0	0	0	4	2	22	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2100	0	0	0	0	6	16	0	0	0	0	0	0	0	1	0	1255	0	2	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	44	0	0	0	106	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	1	0	1	0	0	0	1	2	0	0	0	0	0	508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2391	0	78	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	4	0	3	0	0	3	0	0	0	0	0	0	5	0	0	0	0	0	0	103	86	74	0	0	4	312	28	46	0	0	2	12	1	0	2	0	2	10	5	0	0	1	0	0
6	0.2.9.2.1.5.2	Butyricimonas	0	8830	0	0	1	61	52	45	31	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	0	0	872	0	0	0	872	0	12	264	0	0	206	0	224	0	0	0	0	0	0	0	1092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0	0	0	0	0	319	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	356	0	0	0	0	0	0	0	0	277	0	0	264	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	419	0	0	0	149	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	165	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	311	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	1	0	0	0	0	0	0	0	169	0	0	0	0	2	0	106	0	0	0	0	0	0	0	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	190	475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	4	0	0	0	12	23	129	0	0	0	14	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0.2.9.2.1.5.3	Dysgonomonas	0	5734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	144	130	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2993	0	0	35	0	0	0	0	513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0	0	0	0	0	0	741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0
6	0.2.9.2.1.5.4	Odoribacter	0	16702	306	191	0	0	76	77	15	34	0	0	0	0	0	0	0	0	255	0	0	0	0	0	0	1	0	0	0	0	139	0	256	0	0	0	4	1256	0	9	1099	0	183	0	0	0	0	0	0	0	724	0	0	0	0	0	0	0	0	21	0	0	0	0	1	0	348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	0	0	19	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	38	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	191	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	365	0	0	0	0	0	0	0	0	0	0	0	0	0	486	0	444	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1396	0	0	0	0	10	0	0	0	0	0	0	0	0	1509	947	73	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	1	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2067	0	0	0	0	0	0	0	0	129	0	0	0	12	967	0	0	0	2	295	0	0	0	0	3	0	0	0	0	115	5	21	0	17	57	30	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	236	189	111	84	0	0	0	0	0	0	1	0	100	85	260	0	0	5	15	0	1	0	0	0	0	0	0	6	145	548	0	0	0	0	0	0	0
6	0.2.9.2.1.5.6	Parabacteroides	0	140097	205	191	0	0	911	901	1948	1524	43	825	0	0	0	1	0	0	505	0	0	2485	0	0	0	162	0	3358	0	7	2856	0	538	0	0	2112	56	407	3975	95	356	0	2386	3144	1212	0	0	182	19	0	726	0	0	1	0	2	4621	180	0	9	0	1	0	8	15	587	3454	1147	2021	0	0	862	453	0	0	1090	0	190	3	1	69	236	1080	229	585	401	0	0	0	55	0	0	0	0	0	0	0	0	0	247	0	0	0	0	0	0	4	371	0	1290	0	0	0	9	0	40	0	904	1690	0	0	0	13	0	248	265	0	0	20	2213	948	0	0	2	0	10	2	0	4	0	0	1	0	0	1022	0	0	0	1	1538	0	0	0	4873	0	0	0	0	724	0	2	133	0	0	0	0	2	0	2423	1	5043	0	0	0	0	0	0	0	0	567	0	0	111	4274	112	0	0	0	82	347	0	0	0	76	10	0	0	0	0	4	0	0	729	3	0	0	500	0	0	0	2549	0	16	0	0	0	1495	606	1338	393	0	0	6	998	0	1	0	0	0	38	0	971	0	491	102	0	0	0	41	0	0	0	0	5829	0	15	0	379	1064	0	0	91	14	2454	1231	0	21	0	0	0	6	2057	0	81	0	1	0	3018	63	0	3552	2833	5	322	0	0	0	3	742	0	0	29	446	560	0	0	0	0	0	0	0	0	567	0	249	2139	0	0	0	0	197	1	1069	0	245	46	2	469	509	0	0	944	633	0	0	0	185	117	50	20	7	41	198	395	3	0	15	1333	31	3	3	0	8	21	5	1	20	0	0	635	76	248	182	0	0	0	0	0	2	0	0	2195	2448	2638	0	0	227	3609	421	457	0	582	8	34	6	0	76	154	621	0	2792	0	7	0	4	0
6	0.2.9.2.1.5.8	Porphyromonas	0	2765	0	2	1	2	12	8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	12	0	0	0	0	0	1	0	0	2	0	4	0	0	0	0	0	0	0	2	0	0	9	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	2256	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	17	0	0	0	0	0	0	114	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	3	6	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	0	0	0	0	8	2	0	0	1	8	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1
